mstar,sfr
11.956363,0.30397397
11.733918,6.667745
11.615099,2.067878
10.882487,0.004299564
10.932546,0.0
10.809818,0.6450975
10.798516,9.249084
10.962858,0.0
10.838511,0.0
10.940902,0.009972721
10.614426,0.0
10.838525,0.0
10.76952,0.570594
10.572554,0.0
10.735309,0.0
10.79555,0.0
10.763001,0.0
10.45686,0.029109014
10.6163435,0.0
10.420058,1.9593681
10.610457,0.0
10.006438,0.4646027
10.779198,0.0
10.724605,0.0
10.500928,1.251658
9.650784,0.5427976
10.61979,0.0
10.029109,1.6680306
10.150316,0.16362144
10.011249,0.8152763
10.241068,0.18565191
9.76409,0.5294024
10.146558,0.0
10.474016,0.0
9.825032,0.50237817
10.453687,0.0
10.438683,0.0
10.4266205,0.0
9.967688,3.3789709
9.933974,0.24982128
9.824057,0.33835563
10.172058,0.0
10.419446,0.0
10.0224085,0.010302599
9.733778,0.55225295
10.155456,0.0
10.224686,0.05215253
9.494051,0.3267033
9.462612,0.59977716
10.410334,0.0
10.149107,0.0
10.334511,0.0
10.2306,0.0
10.070429,0.0
9.391982,0.11481677
10.254157,0.0
9.623222,0.44692707
9.789155,0.0
10.15447,0.0
10.150408,0.0
9.984587,0.0
9.283382,0.18095592
10.011889,0.0
9.249495,0.11931453
10.112551,0.0
9.78823,0.0
9.913414,0.0
9.335913,0.026836747
9.419451,0.021933483
8.897387,0.09677611
9.67757,0.0
9.847379,0.0
9.877552,0.0
9.494521,0.0
9.980857,0.0
9.263791,0.03537464
9.0240555,0.13874409
9.841982,0.0
9.839846,0.0
8.406821,0.08377485
9.425652,0.0
9.25048,0.25373322
9.760351,0.0
9.09979,0.0
9.258786,0.10739732
9.517013,0.1683512
9.403017,0.0
8.938605,0.0819115
9.581592,0.0015987107
9.424132,0.109612234
9.726503,0.0
8.574138,0.049532514
8.357438,0.061227836
9.071797,0.01006689
9.684934,0.0
8.57869,0.02184329
9.07159,0.023162724
8.869412,0.0
8.557095,0.046589687
9.796757,0.0
9.033227,0.0
9.4615135,0.0
9.719337,0.0
9.198385,0.06392516
9.101283,0.0
9.158573,0.0
9.649151,0.0
9.563961,0.0
9.63827,0.0
9.431673,0.0
9.726365,0.0
9.332156,0.0
9.594526,0.0
9.68893,0.0
9.560169,0.0
9.776763,0.0
8.699276,0.0699106
9.46939,0.0
9.305213,0.0
9.205952,0.0
9.270956,0.0
9.442554,0.0
9.752327,0.0
9.214481,0.0
9.1372385,0.0
9.037954,0.0
9.446306,0.0
9.641054,0.0
9.276882,0.02457687
9.642296,0.0
9.742835,3.2945585
9.217569,0.0
9.7210045,0.0
9.466201,0.0
8.742587,0.0
8.593835,0.0
9.605875,0.0
8.630822,0.0
8.008363,0.017793737
8.836868,0.0
8.690496,0.06980345
8.487418,0.0
8.159652,0.0
9.66909,0.0
8.919339,0.0
9.499258,0.0
9.355907,0.0
9.635049,0.0
8.838541,0.0
9.59714,0.0
9.624218,0.0
8.064256,0.0
8.454519,0.0098832585
9.402221,0.0
8.130378,0.023547819
9.239767,0.0
8.30124,0.0038883993
9.386849,0.0
8.561363,0.0
8.977445,0.0
9.2771225,0.0
9.528949,0.0
9.128053,0.0
8.986321,0.0
8.460272,0.0
9.179658,0.0
8.7135515,0.0
8.655118,0.0
9.444799,0.0
9.399701,0.35688868
9.440476,0.0
8.889781,0.0
8.402522,0.0
8.8504,0.0
8.601533,0.0
8.873376,0.0
8.102532,0.0
8.924562,0.0
8.392159,0.0
9.159787,0.0
9.359142,0.0
9.390092,0.0
8.816993,0.0
8.452162,0.0
8.712845,0.0
8.924975,0.0
8.345612,0.0
8.284036,0.0
8.993275,0.0
9.358697,1.2366067
8.6995735,0.011141746
8.1081505,0.0
8.043431,0.0
8.933442,0.0
8.65926,0.0
8.462372,0.0
8.037599,0.0
9.018404,0.0
8.439649,0.0
9.222726,0.0
8.843253,0.0
8.894941,0.0
9.276011,0.62138957
8.52342,0.0
8.227228,0.0
8.227695,0.0
9.194901,2.3219051
8.750205,0.0
8.464769,0.0
9.138402,0.0
8.176448,0.0
9.169273,1.7508386
8.441081,0.0
8.300974,0.0
8.372426,0.0
8.242862,0.0
9.127558,0.0
8.459399,0.0
9.161963,0.0
9.0331545,0.0
8.161553,0.0
8.107043,0.0
8.819578,0.0
8.879723,0.0
9.233727,0.0
8.713513,0.0
8.491805,0.0
8.477054,0.0
8.40494,0.0
8.4703665,0.0
9.122416,0.0
8.172982,0.0
8.262509,0.0
9.18735,0.0
8.483638,0.0
8.145092,0.0
9.149125,0.0
8.166814,0.0
8.700703,0.0
8.196825,0.0
8.097302,0.0
8.074673,0.0
9.145943,0.0
8.074743,0.0
8.566215,0.0
8.230556,0.0
8.889031,0.0
8.641749,0.0
8.942215,0.0
8.514993,0.0
8.373351,0.0
8.075259,0.0
8.219754,0.0
8.583631,0.0
9.087777,0.0
9.151287,0.0
8.017065,0.0
8.464679,0.0
8.656229,2.913092
8.14161,0.0
8.565191,0.0
9.083305,0.0
8.455167,0.0
8.851102,0.0
8.315028,0.0
8.388393,0.0
8.607891,0.0
9.045598,0.0
8.760764,0.83362067
8.481427,0.0
8.317374,0.68485355
8.99228,0.0
8.065309,0.0
8.349074,0.46820274
8.575731,0.0
8.264667,0.0
8.997865,0.0
8.29851,0.0
8.239,0.0
8.709611,0.0
8.323474,0.0
8.9609165,0.0
8.596191,0.0
8.197318,0.0
8.914242,0.0
8.748592,0.6417506
8.855785,0.31419998
8.90682,0.0
8.655503,0.0
8.558447,0.0
8.037427,0.0
8.290313,0.0
8.871138,0.0
8.178522,0.0
8.546155,0.0
8.199741,0.0
8.847851,0.0
8.810271,0.0
8.208118,0.0
8.328535,0.42648107
8.567878,0.0
8.158411,0.85511756
8.404146,0.0
8.044833,0.0
8.800517,0.0
8.028983,0.0
8.80753,0.0
8.19594,0.0
8.116839,0.0
8.194076,0.0
8.398171,0.0
8.781781,0.0
8.731498,0.0
8.361263,0.27683017
8.751498,0.0
8.221616,0.0
8.22974,0.0
8.691959,0.0
8.329491,0.0
8.680646,0.0
8.0153055,0.0
8.493314,0.0
8.554954,0.0
8.630375,0.0
8.179678,0.0
8.583136,0.0
8.158393,0.0
8.330793,0.0
8.092303,0.0
8.585398,0.0
8.357236,0.0
8.152278,0.0
8.405236,0.0
8.045797,0.19563302
8.197956,0.0
8.444501,0.0
8.3317995,0.0
8.094767,0.0
8.324948,0.0
8.400349,0.0
8.013207,0.0
8.341044,0.0
8.116009,0.0
8.2525015,0.0
8.076911,0.0
8.235529,0.0
8.09555,0.0
8.052684,0.0
8.052284,0.0
8.035591,0.0
11.583799,0.0
10.945415,0.4254398
10.901423,0.0
10.622446,0.30829018
10.843744,0.0
10.75121,0.0
10.620946,0.0
10.754234,0.0
10.561328,0.0
10.292826,0.0
10.632677,0.0
10.587058,0.0
10.599008,0.0
10.412251,0.0
10.490966,0.0
9.667829,0.76568156
10.253923,0.0
10.481408,0.0
10.460885,0.0
10.131982,0.034421053
10.1724205,0.0
10.079464,0.04250868
9.634116,0.2839463
9.725449,0.64653504
9.819833,0.0022223624
10.361134,0.0
9.626824,0.1475112
10.296846,0.0
9.375042,0.120099224
9.981216,0.0
9.762752,0.0
10.178558,0.0
9.660893,0.0
9.588106,0.0
9.78736,0.0
9.712421,0.0
9.896828,0.0
9.642063,0.061769366
9.152321,0.0
9.708876,0.0
10.058389,0.0
9.364763,0.593107
9.854828,0.0
9.127711,0.0
9.426011,0.0
9.95477,0.0
8.968883,0.0
9.639573,0.0
9.182967,0.0
9.233721,0.0
9.604865,0.0
9.954966,0.0
8.6644745,0.0
9.9602375,0.0
9.259592,0.0
9.115064,0.0
9.761747,0.0
9.829495,0.0
8.782055,0.05196572
9.835932,0.0
9.73542,0.0
8.716604,0.0
8.56033,0.0022659278
8.698399,0.0
